"N_sbj","power","study"
87,0.996666666666667,"Thaler1985_scenario1"
70,0.99,"Thaler1985_scenario1"
57,0.973333333333333,"Thaler1985_scenario1"
47,0.916666666666667,"Thaler1985_scenario1"
42,0.866666666666667,"Thaler1985_scenario1"
39,0.836666666666667,"Thaler1985_scenario1"
