"N_sbj","power","study"
87,0.986666666666667,"Thaler1985_scenario3"
71,0.976666666666667,"Thaler1985_scenario3"
58,0.946666666666667,"Thaler1985_scenario3"
49,0.88,"Thaler1985_scenario3"
45,0.85,"Thaler1985_scenario3"
