"","subject","Gender","Age","Income","Education","Residence","Country","NativeLanguage","FinancialLiteracy","attention_check_grater_than_3","attention_check_grater_than_2","loi_lower_than_loiX0_33","native_language_is_country_language","frame","response"
"3555","R_2UhYaMPg3GikX9d","Female","20","More than EGP 10000","17","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Per-session",3
"3556","R_ywmMFdtdntJLwoV","Female","22","Prefer not to answer","17","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Per-session",4
"3557","R_1IbM2DQ5NDsBGSJ","Female","١٨","More than EGP 10000","12","Egypt","Egypt","Arabic",2,FALSE,FALSE,FALSE,TRUE,"Per-session",1
"3558","R_3qqig8Vp2n0awLq","Male","20","EGP 8400 - 10000","13","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Per-session",2
"3559","R_3Kw5b4uMwGwwl6r","Male","٢١","More than EGP 10000","١٨","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Per-session",4
"3560","R_2wuZ94aSVRj50a2","Female","21","EGP 6700 -  8400","14","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3561","R_2bV06yxLECKp2dg","Female","21","Prefer not to answer","15","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3562","R_3fMII5g4tuhBQoe","Female","٢٢","Prefer not to answer","١٥","Egypt","Egypt","Arabic",3,FALSE,TRUE,FALSE,TRUE,"Per-session",2
"3563","R_21gjzoXqTFnmOpa","Female","19","More than EGP 10000","16","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Per-session",4
"3564","R_QhWeOlB04a9PPJn","Female","19","More than EGP 10000","14","Egypt","Egypt","Other",4,FALSE,FALSE,FALSE,FALSE,"Per-session",5
"3565","R_1hWKmhpBoxno5AG","Male","21","EGP 8400 - 10000","16","Egypt","Egypt","Arabic",4,FALSE,TRUE,FALSE,TRUE,"Per-session",4
"3566","R_WD72ugoTxgNrk53","Female","21","More than EGP 10000","15","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Per-session",2
"3567","R_3mlAxaCdNmtH6E0","Female","19","More than EGP 10000","14","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3568","R_1ojVR0Klmo2y1Kw","Female","20","Prefer not to answer","15","Egypt","Egypt","Arabic",1,FALSE,FALSE,FALSE,TRUE,"Per-session",5
"3569","R_TqjcW5US6fJea9H","Female","٢١","More than EGP 10000","16","Egypt","Egypt","Arabic",4,FALSE,TRUE,FALSE,TRUE,"Per-session",3
"3570","R_3HY9p6Xnz4xdxbd","Female","19","More than EGP 10000","12","Egypt","Egypt","Arabic",0,TRUE,TRUE,FALSE,TRUE,"Per-session",2
"3571","R_pAiSWZTxMjATOkV","Male","18","More than EGP 10000","13","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3572","R_3m47iO0aoofPrEC","Male","١٨","More than EGP 10000","١٢","Egypt","Egypt","Arabic",1,FALSE,TRUE,FALSE,TRUE,"Per-session",5
"3573","R_vdgMmshcbvOB7eF","Male","١٩","Prefer not to answer","١٥","Egypt","Egypt","Arabic",1,FALSE,TRUE,FALSE,TRUE,"Per-session",1
"3574","R_ANzMLEZXufMLfrj","Female","19","Prefer not to answer","15","Egypt","Egypt","Arabic",2,FALSE,TRUE,FALSE,TRUE,"Per-session",1
"3575","R_Y60EmVeeySugWit","Female","18","Prefer not to answer","13","Egypt","Egypt","Arabic",1,FALSE,TRUE,FALSE,TRUE,"Per-session",3
"3576","R_s6eRtWa02QpExvH","Male","18","EGP 8400 - 10000","12","Egypt","Egypt","Arabic",0,FALSE,TRUE,FALSE,TRUE,"Per-session",3
"3577","R_2bN9Gk6jt3crW8U","Female","20","Prefer not to answer","15","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Per-session",2
"3578","R_22FxRt4FAENwuDN","Prefer not to say","30","EGP 8400 - 10000","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Per-session",2
"3579","R_3svOeCjtgBrdUUb","Male","25","EGP 8400 - 10000","16","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Per-session",2
"3580","R_3gUtJzHU00wunYq","Male","42","EGP 8400 - 10000","16","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3581","R_1EcePYvCdDdXXUF","Female","28","More than EGP 10000","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3582","R_33sBJ98Ko30G0UC","Female","33","EGP 6700 -  8400","16","Egypt","Egypt","Arabic",0,TRUE,TRUE,FALSE,TRUE,"Per-session",4
"3583","R_3kAG5YcFyQ5YFry","Female","41","EGP 8400 - 10000","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Per-session",3
"3584","R_2YDJjYpENIC1qkW","Male","33","EGP 8400 - 10000","16","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Per-session",3
"3585","R_1E4LQK0vhY5cGc4","Prefer not to say","27","EGP 6700 -  8400","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Per-session",3
"3586","R_1jO0fdmPYxNHmrs","Female","44","EGP 8400 - 10000","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Per-session",3
"3587","R_1r96kMQ0pICuCte","Male","19","Prefer not to answer","١٣","Egypt","Egypt","Arabic",3,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3588","R_1E4IOLqRdNo24Yb","Male","25","EGP 8400 - 10000","5","Austria","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Per-session",2
"3589","R_2yr6LutwI1NAeZn","Male","٢٥","More than EGP 10000","18","Austria","Egypt","Arabic",3,FALSE,TRUE,FALSE,TRUE,"Per-session",1
"3590","R_1Pbc7TCfNNFOPh0","Male","٢٠","Prefer not to answer","١٦","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Per-session",5
"3591","R_2dXbmF8AOE6wQ5M","Female","١٨","More than EGP 10000","١٢","Egypt","Egypt","Arabic",0,FALSE,TRUE,FALSE,TRUE,"Per-session",5
"3592","R_1riDuilsiRIlqQu","Male","30","EGP 6700 -  8400","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,TRUE,TRUE,"Per-session",3
"3593","R_2uvNB4XBBX3zyER","Female","25","EGP 6700 -  8400","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,TRUE,TRUE,"Per-session",3
"3594","R_1Fy3YOv6NsUCKAi","Male","42","EGP 8400 - 10000","16","Egypt","Egypt","Arabic",2,TRUE,TRUE,TRUE,TRUE,"Per-session",1
"3595","R_1mXElIbRMuwD3LN","Female","37","EGP 8400 - 10000","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3596","R_2cAR6zCQmOe0Pow","Female","40","EGP 6700 -  8400","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3597","R_Bzc7XhJrWFqcTmN","Male","50","EGP 5000 - 6700","12","Egypt","Egypt","Arabic",0,TRUE,TRUE,TRUE,TRUE,"Per-session",1
"3598","R_3Pc0yNNI6YLHdM5","Male","46","EGP 5000 - 6700","14","Egypt","Egypt","Arabic",0,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3599","R_2WDuPRXsMsbrTGh","Male","59","EGP 5000 - 6700","12","Egypt","Egypt","Arabic",0,TRUE,TRUE,TRUE,TRUE,"Per-session",1
"3600","R_2wtpaa3u1AQObOZ","Female","70","EGP 5000 - 6700","12","Egypt","Egypt","Arabic",0,TRUE,TRUE,TRUE,TRUE,"Per-session",1
"3601","R_31BKpA5nXl4vWBm","Female","56","EGP 5000 - 6700","12","Egypt","Egypt","Arabic",0,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3602","R_1FOI5ho4H7nQtI0","Female","37","EGP 3400 - 5000","12","Egypt","Egypt","Arabic",0,TRUE,TRUE,FALSE,TRUE,"Per-session",1
"3603","R_xEerCJf6z0wa97X","Female","28","EGP 6700 -  8400","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,TRUE,TRUE,"Per-session",1
"3604","R_3GvpMGvKrwvGGbi","Prefer not to say","40","EGP 6700 -  8400","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,TRUE,TRUE,"Per-session",2
"3605","R_2fdKMifbfgehzpe","Prefer not to say","58","EGP 6700 -  8400","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,TRUE,TRUE,"Per-session",2
"3606","R_25MgU7Tk3LvVTRi","Male","20","Prefer not to answer","13","Egypt","Egypt","Arabic",2,TRUE,TRUE,FALSE,TRUE,"Per-session",3
"3607","R_AGwiO5c9yfJWMeZ","Female","19","Prefer not to answer","14","Egypt","Egypt","Arabic",1,FALSE,TRUE,FALSE,TRUE,"Per-session",2
"3608","R_2qCLgOk4yBAqNkT","Female","21","EGP 6700 -  8400","10","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Per-session",4
"3609","R_3PjYu6GqcYQa5Sz","Female","18","EGP 6700 -  8400","12","Egypt","Egypt","Arabic",0,FALSE,FALSE,FALSE,TRUE,"Yearly",4
"3610","R_1Kedd2ZLH9rrE4Q","Female","21","Prefer not to answer","18","Egypt","Egypt","Arabic",2,FALSE,FALSE,FALSE,TRUE,"Yearly",4
"3611","R_27Vu3y0Faj0ccyw","Male","21","Prefer not to answer","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Yearly",5
"3612","R_z8VyRNlQXBMj0Rz","Female","34","Prefer not to answer","15","Czech Republic","Egypt","Arabic",0,FALSE,TRUE,FALSE,TRUE,"Yearly",5
"3613","R_1N8EjYgsaUUDBGY","Female","22","Prefer not to answer","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Yearly",3
"3614","R_22P1r9cUUSIppkL","Male","21","More than EGP 10000","15","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",1
"3615","R_yr1kAi9ufN3lfgZ","Male","24","Prefer not to answer","21","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",4
"3616","R_djwgmFXdJPJbyWl","Prefer not to say","21","Prefer not to answer","16","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",1
"3617","R_3CNuJvoHlWxBnqM","Female","22","EGP 3400 - 5000","18","Egypt","Egypt","Arabic",4,TRUE,TRUE,FALSE,TRUE,"Yearly",1
"3618","R_2wsQApDFAhf9OwH","Female","51","More than EGP 10000","16","Egypt","Egypt","Arabic",1,TRUE,TRUE,FALSE,TRUE,"Yearly",2
