StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,Prolific_ID,A1,time_a1__First_Click,time_a1__Last_Click,time_a1__Page_Submit,time_a1__Click_Count,B1_1_1,B1_1_2,B2_1_1,B2_1_2,time_b1_First_Click,time_b1_Last_Click,time_b1_Page_Submit,time_b1_Click_Count,C1_1,time_c1_First_Click,time_c1_Last_Click,time_c1_Page_Submit,time_c1_Click_Count,F1,time_f1_First_Click,time_f1_Last_Click,time_f1_Page_Submit,time_f1_Click_Count,D3,time_d3_First_Click,time_d3_Last_Click,time_d3_Page_Submit,time_d3_Click_Count,B1_2_1,B1_2_2,B2_2__1,B2_2__2,time_b2_First_Click,time_b2_Last_Click,time_b2_Page_Submit,time_b2_Click_Count,A2,time_a2_First_Click,time_a2_Last_Click,time_a2_Page_Submit,time_a2_Click_Count,E2,time_e2_First_Click,time_e2_Last_Click,time_e2_Page_Submit,time_e2_Click_Count,G2,time_g2_First_Click,time_g2_Last_Click,time_g2_Page_Submit,time_g2_Click_Count,d4_,time_d4_First_Click,time_d4_Last_Click,time_d4_Page_Submit,time_d4_Click_Count,A3_,time_a3__First_Click,time_a3__Last_Click,time_a3__Page_Submit,time_a3__Click_Count,B1_3__1,B1_3__2,B2_3_1,B2_3_2,time_b3_First_Click,time_b3_Last_Click,time_b3_Page_Submit,time_b3_Click_Count,D2_2,time_d2_First_Click,time_d2_Last_Click,time_d2_Page_Submit,time_d2_Click_Count,F2,time_f2_First_Click,time_f2_Last_Click,time_f2_Page_Submit,time_f2_Click_Count,C1_2,time_c2__First_Click,time_c2__Last_Click,time_c2__Page_Submit,time_c2__Click_Count,A4,time_a4_First_Click,time_a4_Last_Click,time_a4_Page_Submit,time_a4_Click_Count,D2_1,time_d1_First_Click,time_d1_Last_Click,time_d1_Page_Submit,time_d1_Click_Count,E1,time_e1_First_Click,time_e1_Last_Click,time_e1_Page_Submit,time_e1_Click_Count,G1,time_g1_First_Click,time_g1_Last_Click,time_g1_Page_Submit,time_g1_Click_Count,Ind_Col_1,Ind_Col_2,Ind_Col_3,Ind_Col_4,Ind_Col_5,Ind_Col_6,Ind_Col_7,Ind_Col_8,Ind_Col_9,Ind_Col_10,Ind_Col_11,Ind_Col_12,Ind_Col_13,Ind_Col_14,Ind_Col_15,Ind_Col_16,fin_lit1,fin_lit2,fin_lit3,fin_lit4,H1,Gender,Age_,Income,Education,Nationality,Mother_tongue__,Debriefing
4/13/2022 9:32:50,4/13/2022 10:03:47,0,174.248.120.24,100,1857,1,4/13/2022 10:03:49,R_ei0uEt6a81VXfvH, , , , ,38.9592,-94.5961,anonymous,EN,1,578e8bd7baec1b00016977c1,3,20.353,93.999,94.624,5,2,5,5,10,52.489,123.964,126.47,6,15,261.454,261.454,264.394,1,1,27.781,44.992,50.319,4,2,16.664,17.162,17.186,2,2,5,5,10,64.479,73.818,76.179,6,3,41.862,43.351,44.235,2,1,29.905,29.905,30.516,1,2,20.577,53.516,55.54,3,2,10.451,10.451,10.934,1,1,54.695,62.351,63.242,2,5,10,5,15,18.786,45.744,48.658,7,2,35.611,35.611,36.429,1,3,34.168,35.418,36.675,2,6,31.726,33.192,35.286,3,1,408.61,417.916,417.94,4,2,8.418,8.418,8.908,1,1,7.382,7.382,8.072,1,1,56.938,86.056,87.78,4,4,4,4,4,3,2,3,2,4,4,4,4,3,4,3,2,4,6,2,7,5,2,28,2,4,24,5,1
4/13/2022 9:44:54,4/13/2022 10:06:03,0,73.67.23.239,100,1268,1,4/13/2022 10:06:03,R_7Pte4czWdMkcsNj, , , , ,39.0518,-94.4046,anonymous,EN,1,5dfbb9eaae7b308dbf97a681,1,12.974,12.974,14.231,1,0,5,0,5,11.8,17.021,24.294,4,8,39.94,39.94,47.728,1,2,61.537,61.537,62.867,1,2,7.263,7.263,8.238,1,5,5,5,5,16.068,23.471,34.878,4,1,27.395,27.395,29.038,1,1,13.89,13.89,15.119,1,2,48.798,48.798,50.692,1,2,13.726,13.726,20.44,1,2,41.748,41.748,43.429,1,5,10,5,10,12.084,29.592,33.496,4,2,8.592,8.592,9.731,1,3,360.643,360.643,361.733,1,10,35.422,35.422,43.094,1,2,34.389,34.389,35.852,1,2,8.543,8.543,12.385,1,1,14.887,14.887,16.541,1,2,18.45,18.45,22.527,1,4,4,4,5,4,3,2,1,4,5,4,4,4,5,4,3,4,6,2,7,4,2,55,2,5,24,5,1
4/13/2022 10:02:26,4/13/2022 10:06:45,0,35.32.181.221,100,258,1,4/13/2022 10:06:45,R_24GCQzvwHjFdJmM, , , , ,42.4327,-83.0396,anonymous,EN,1,5e77a47216fafe318117b976,1,4.935,4.935,6.115,1,2,10,5,15,2.86,15.71,17.774,4,3,1.962,1.962,4.057,1,2,1.317,1.317,2.133,1,1,.928,.928,1.711,1,3,5,7,12,3.594,12.325,14.323,4,1,6.351,6.936,7.997,2,2,1.635,1.635,2.75,1,2,3.566,5.616,6.48,2,1,2.472,2.472,3.669,1,2,6.237,6.237,7.534,1,10,15,10,20,4.801,19.948,23.011,5,2,2.149,2.931,4.078,2,2,8.778,8.778,13.328,1,3,19.954,19.954,23.036,1,2,8.32,8.32,9.517,1,1,5.696,5.696,6.624,1,2,3.882,3.882,4.877,1,1,7.614,7.614,9.628,1,3,3,4,3,4,4,5,4,3,4,4,4,5,5,4,5,4,4,3,7,5,2,20,4,3,24,5,1
4/13/2022 9:57:33,4/13/2022 10:07:04,0,67.198.56.115,100,571,1,4/13/2022 10:07:04,R_3PQXhQXt7snW19t, , , , ,33.2249,-97.1811,anonymous,EN,1,61075b4a057cdce1ca04bff8,1,16.23,16.23,17.537,1,0,0,0,0,15.321,15.321,20.792,1,5,21.896,21.896,25.326,1,1,38.658,38.658,40.196,1,2,6.557,6.557,8.772,1,5,5,5,10,22.114,27.098,37.802,3,1,19.73,19.73,21.617,1,1,8.119,8.119,11.77,1,2,24.386,24.386,25.876,1,2,9.22,9.22,10.777,1,1,20.372,20.372,22.389,1,10,10,10,10,11.324,11.324,15.75,1,2,4.491,4.491,5.944,1,3,15.983,15.983,19.488,1,5,6.229,11.754,13.417,2,2,26.027,26.027,27.358,1,2,10.85,10.85,12.195,1,2,11.882,11.882,13.578,1,3,30.602,30.602,32.63,1,2,2,3,3,4,1,2,4,3,4,3,4,5,5,5,4,4,7,2,7,4,2,30,1,6,24,5,1
4/13/2022 9:58:12,4/13/2022 10:07:58,0,64.45.168.216,100,586,1,4/13/2022 10:07:59,R_71hmAqA3RuJHfjP, , , , ,36.7254,-86.57,anonymous,EN,1,608ad59dc31587d0f40ab303,1,14.857,14.857,15.739,1,0,0,0,0,37.006,44.896,46.409,4,5,24.042,24.042,26.588,1,1,37.511,37.511,38.59,1,2,10.076,10.076,10.75,1,5,5,5,5,14.267,17.511,18.54,5,1,20.525,20.525,21.863,1,1,13.369,13.369,14.539,1,1,17.026,17.026,18.465,1,2,6.112,6.913,7.2,2,2,9.674,9.674,11.602,1,5,10,10,10,21.073,33.034,35.146,4,2,7.109,7.109,8.428,1,3,22.495,24.457,25.153,2,5,9.616,9.616,11.879,1,2,24.153,24.153,26.834,1,2,11.244,11.244,12.622,1,2,6.276,6.276,6.979,1,1,30.977,30.977,31.847,1,4,3,4,4,5,3,3,3,4,4,3,4,3,4,4,5,4,6,2,7,5,2,28,3,5,24,5,1
4/13/2022 10:02:22,4/13/2022 10:08:09,0,141.152.28.46,100,346,1,4/13/2022 10:08:09,R_1Ebx6aukrsFeQl6, , , , ,37.5702,-77.4239,anonymous,EN,1,5f91fcd0d41fea101c469878,3,11.372,11.372,13.146,1,5,5,10,10,17.549,25.841,26.296,5,12,1.489,1.489,14.7,1,1,18.696,18.696,24.844,1,2,5.981,5.981,6.691,1,5,5,10,10,9.99,13.973,15.571,4,3,12.417,13.81,14.521,2,1,5.341,5.341,6.332,1,2,9.283,9.283,10.478,1,2,2.739,2.739,3.86,1,2,6.061,6.061,7.036,1,5,5,10,10,5.406,12.071,13.933,5,2,2.072,2.072,2.919,1,2,9.802,15.914,16.426,4,12,4.638,4.638,8.324,1,2,22.861,22.861,24.88,1,2,5.598,5.598,6.444,1,1,4.337,4.337,5.492,1,1,21.924,21.924,23.5,1,4,4,3,4,3,2,2,2,3,4,3,4,3,4,3,4,4,6,3,7,5,2,24,1,5,24,5,1
4/13/2022 9:42:52,4/13/2022 10:11:05,0,136.49.37.39,100,1692,1,4/13/2022 10:11:06,R_1igvj5B6KqN6MVi, , , , ,30.2095,-97.7972,anonymous,EN,1,6150983030d67fd66a243a33,1,18.738,18.738,20.699,1,0,5,0,10,47.228,93.047,95.443,4,20,40.913,40.913,43.997,1,1,51.995,51.995,53.83,1,2,8.342,8.342,9.547,1,5,5,5,15,29.409,98.328,104.646,5,2,87.048,87.048,91.435,1,2,19.564,19.564,20.313,1,2,30.569,30.569,32.969,1,2,16.044,16.044,17.391,1,2,37.303,37.303,40.446,1,10,10,10,15,93.492,147.644,150.754,6,2,19.144,19.144,20.731,1,1,78.117,78.117,80.467,1,12,85.408,85.408,89.543,1,3,56.78,56.78,60.684,1,2,42.058,42.058,43.581,1,2,28.524,28.524,29.785,1,2,90.178,90.178,110.286,1,5,4,4,4,4,4,5,4,3,4,4,4,5,5,5,4,4,6,2,7,5,2,35,1,6,24,17,1
4/13/2022 9:59:36,4/13/2022 10:11:45,0,68.116.80.250,100,728,1,4/13/2022 10:11:46,R_3I4JJN2M2waxKI9, , , , ,37.5855,-120.9453,anonymous,EN,1,5e813db54a5c60836a0366e0,1,15.507,16.624,16.88,2,0,5,5,10,13.625,24.417,26.143,4,8,10.514,10.514,12.789,1,1,12.768,12.768,14.014,1,2,11.262,12.093,14.421,2,0,5,5,10,9.548,16.797,18.388,4,1,16.011,16.011,18.73,1,2,7.391,7.391,9.066,1,2,17.539,23.009,23.835,2,2,7.487,7.487,8.239,1,2,19.968,19.968,26.189,1,5,10,10,10,54.008,63.881,65.957,4,2,23.282,23.282,24.17,1,2,44.698,44.698,46.142,1,8,67.839,68.295,69.869,2,2,34.246,34.246,35.452,1,2,24.802,24.802,25.512,1,2,11.601,11.601,12.597,1,3,67.134,68.922,70.888,2,5,5,5,4,4,2,4,2,5,5,5,5,3,2,2,3,4,6,2,4,4,2,20,1,3,24,18,1
4/13/2022 9:56:42,4/13/2022 10:12:01,0,24.16.97.92,100,919,1,4/13/2022 10:12:02,R_diEpJb7yFuxLAfT, , , , ,47.6092,-122.1168,anonymous,EN,1,582969ae97419700016bc974,3,11.355,23.908,25.644,2,0,5,0,10,19.912,44.678,48.201,13,5,13.797,17.604,19.332,2,1,17.926,18.783,23.068,2,2,13.549,32.444,33.45,5,0,5,0,5,19.681,33.703,37.401,8,3,3.1,32.4,35.974,6,2,10.686,15.434,15.97,2,2,2.76,26.894,32.933,3,2,7.901,9.087,11.973,2,3,12.077,46.532,49.366,6,5,5,5,10,40.216,52.592,53.501,6,2,26.201,26.201,29.788,1,1,68.743,68.743,71.786,1,2,53.687,56.985,58.656,2,3,1.706,26.439,29.721,5,2,7.904,7.904,10.139,1,2,21.711,24.021,26.229,2,2,28.336,67.427,69.803,3,2,1,4,3,1,1,1,1,5,5,3,4,1,1,1,3,4,6,3,7,5,1,28,1,4,24,5,1
4/13/2022 9:58:23,4/13/2022 10:12:14,0,76.248.240.216,100,830,1,4/13/2022 10:12:15,R_3kLNUa51NGMoz0N, , , , ,39.9714,-86.1295,anonymous,EN,1,5bc777ee06900800013a0393,3,12.144,12.144,13.574,1,0,5,0,5,22.365,29.516,31.753,4,0,15.016,15.016,17.494,1,3,39.349,39.349,40.807,1,2,15.439,20.819,22.262,2,5,5,5,10,16.442,22.795,25.398,4,3,21.014,21.014,22.906,1,1,16.46,16.46,18.742,1,1,18.442,18.442,20.45,1,2,12.546,13.532,14.907,2,3,43.37,43.37,45.565,1,5,5,5,10,45.901,59.541,62.232,4,2,23.039,23.039,25.533,1,3,47.165,47.165,48.845,1,0,44.52,44.52,47.242,1,3,28.945,28.945,32.674,1,2,12.626,12.626,14.202,1,1,21.882,21.882,23.342,1,1,55.746,55.746,57.186,1,4,3,4,4,4,1,3,1,5,4,4,4,3,4,4,4,4,6,3,7,4,2,66,1,6,24,17,1
