"subject","Gender","Age","Income","Education","Country","FinancialLiteracy","condition","response"
"R_SIhwpQI9IytbCOl","Female","23","Prefer not to answer","15","Austria",4,"Friend",0
"R_32Q4UE6467KBgPb","Female","32","40000 € - 50000 €","17","Austria",2,"Friend",0
"R_1GPPaWV7YbIzZH9","Female","25","Less than 20000€","13","Austria",2,"Friend",1
"R_RKwL9sFnMEudf5n","Female","26","Less than 20000€","18","Austria",3,"Friend",0
"R_OJN8WGTmtpfXv7r","Female","26","Prefer not to answer","17","Austria",2,"Friend",0
"R_UbQVZ7zVgBjocsV","Male","25","Less than 20000€","19","Austria",3,"Friend",0
"R_2TUaIrNZ5R0JH3G","Female","32","30000 € - 40000 €","13","Austria",3,"Friend",0
"R_1HpYJsHEzecYCAw","Female","44","20000 € - 30000 €","12","Austria",2,"Friend",1
"R_3DkCmqnqWZlZOyS","Male","31","30000 € - 40000 €","12","Austria",3,"Friend",1
"R_21AMDNokMRoAUNB","Male","30","30000 € - 40000 €","9","Austria",3,"Friend",0
"R_seePf1cEXVxyGxX","Female","25","20000 € - 30000 €","19","Austria",4,"Friend",0
"R_ehZ3e3LoVaWGKXL","Male","38","More than 60000 €","17","Austria",3,"Friend",0
"R_2EovLyjGG5EMSnL","Female","21","Less than 20000€","12","Austria",4,"Friend",0
"R_3lMQkzPitEUiLaF","Male","48","More than 60000 €","19","Austria",4,"Friend",0
"R_8uFlp8itUqKNxTj","Female","42","20000 € - 30000 €","18","Austria",3,"Friend",1
"R_1MLqxTiSglel5JW","Female","55","30000 € - 40000 €","20","Austria",4,"Friend",0
"R_1qTYqmlYir4KJoL","Non-binary / third gender","25","20000 € - 30000 €","20","Austria",0,"Friend",0
"R_24AfAfrg43B4RJW","Male","34","20000 € - 30000 €","11","Austria",4,"Friend",0
"R_2TYs3CpRviw0tbh","Female","37","20000 € - 30000 €","15","Austria",3,"Friend",0
"R_2YEs8RB1wPOFxby","Female","40","30000 € - 40000 €","13","Austria",3,"Friend",1
"R_1M0ollZY96rSFGO","Female","25","Less than 20000€","19","Austria",4,"Friend",0
"R_1q3zM5y9vTKNYMN","Female","30","20000 € - 30000 €","18","Austria",4,"Friend",0
"R_3iVkGZLKpimpDEO","Female","28","20000 € - 30000 €","20","Austria",3,"Friend",0
"R_PH6VObesjTEctoZ","Female","22","Less than 20000€","16","Austria",3,"Friend",0
"R_3dSPe0HgY8njdJA","Female","40","20000 € - 30000 €","17","Austria",3,"Friend",0
"R_1LByWHkE6lG0B6H","Male","45","More than 60000 €","20","Austria",3,"Friend",0
"R_0PViXsWvwfsX9IJ","Female","29","20000 € - 30000 €","17","Austria",3,"Friend",0
"R_74cWj49cxi4U0x3","Female","36","50000 € - 60000 €","22","Austria",3,"Friend",0
