"subject","Gender","Age","Income","Education","Country","FinancialLiteracy","condition","response"
"R_2TBIDm4TypcUM22","Female","23","Less than 135.000 kr.","14","Denmark",3,"Friend",0
"R_XiYYjYKZLRCXY1H","Male","29","More than 405.000 kr.","17","Denmark",3,"Friend",0
"R_2X4Nn9yZqsmQAw2","Female","22","More than 405.000 kr.","15","Denmark",1,"Friend",0
"R_3KDit27zSVCyI3p","Male","30","Less than 135.000 kr.","7","Denmark",3,"Friend",0
"R_3gL2JiT3zRJOHHN","Male","47","More than 405.000 kr.","15","Denmark",2,"Friend",0
"R_3LgUv0LtyiS1OOP","Male","29","More than 405.000 kr.","20","Denmark",2,"Friend",0
"R_25Xb44tvSiYewLI","Female","28","More than 405.000 kr.","18","Denmark",2,"Friend",0
"R_2ARMaMRzYFd4v5i","Female","26","135.000 kr. – 202.000 kr.","16","Denmark",1,"Friend",0
"R_1mlTs9EcZNThrH7","Male","26","Less than 135.000 kr.","17","Denmark",4,"Friend",0
"R_3NRlBVRZEIsgNeO","Female","66","More than 405.000 kr.","16","Denmark",3,"Friend",0
"R_3hADeLzomL0eg1m","Female","28","More than 405.000 kr.","20.5","Denmark",3,"Friend",1
"R_2zjXsm2wv8Suc2x","Male","44","More than 405.000 kr.","15","Denmark",3,"Friend",1
"R_22KSGzvnDqM0mns","Male","52","More than 405.000 kr.","17","Denmark",3,"Friend",0
"R_3hscajAHMi2zNPs","Male","41","More than 405.000 kr.","12","Denmark",0,"Friend",0
"R_3P4rNNOyKDunAps","Male","24","Less than 135.000 kr.","18","Denmark",4,"Friend",0
"R_33d4tfJkyHy5s7e","Male","49","Prefer not to answer","19","Denmark",4,"Friend",0
"R_31jAcw2ruyHJ9Ox","Female","53","More than 405.000 kr.","16","Denmark",4,"Friend",0
"R_2Y9cafswqmTJv77","Female","43","More than 405.000 kr.","21","Denmark",1,"Friend",0
"R_12P9E1P1AgPl7wW","Female","23","270.000 kr. – 338.000 kr.","16","Denmark",3,"Friend",0
"R_r122I8nFXU4MAVz","Female","47","More than 405.000 kr.","15","Denmark",1,"Friend",0
"R_24DbAUZNMMuHN0x","Male","27","202.000 kr. – 270.000 kr.","19","Denmark",3,"Friend",0
"R_3EAs3ACHBAA3dty","Male","21","135.000 kr. – 202.000 kr.","15","Denmark",3,"Friend",1
"R_21yup16Qzbc7B85","Female","28","135.000 kr. – 202.000 kr.","20","Denmark",4,"Friend",0
"R_3CTS7fGHC0pX037","Female","25","135.000 kr. – 202.000 kr.","17","Denmark",3,"Friend",0
"R_3sAiyTyn6AdhOld","Female","49","338.000 kr. – 405.000 kr.","18","Denmark",3,"Friend",0
"R_3CDC6pGVfO2dpcq","Female","34","270.000 kr. – 338.000 kr.","19.5","Denmark",1,"Friend",0
"R_1jdJHQKvcuia2yO","Male","77","338.000 kr. – 405.000 kr.","13","Denmark",2,"Friend",0
"R_qKGp2aecxPa0nvz","Female","34","270.000 kr. – 338.000 kr.","17.5","Denmark",0,"Friend",0
"R_3dSyLPQJ0kH2gTm","Male","57","More than 405.000 kr.","14","Denmark",3,"Friend",0
"R_2bHq0MZCnlfeAdj","Female","28","More than 405.000 kr.","9","Denmark",4,"Friend",0
"R_3qNVIQXXjr1OE9P","Female","27","More than 405.000 kr.","19","Denmark",4,"Friend",0
"R_2wz4PJVqa74OJME","Female","22","270.000 kr. – 338.000 kr.","15","Denmark",3,"Friend",0
"R_1KfpIsBjmaR2Eka","Male","20","Less than 135.000 kr.","12","Denmark",3,"Friend",0
"R_1LbZKMTHmE3ypXD","Male","33","More than 405.000 kr.","18","Denmark",4,"Friend",0
"R_3VRzTNciezqF5Rv","Male","27","More than 405.000 kr.","19","Denmark",2,"Friend",0
"R_2UbWWPkrO4JkRVv","Female","24","270.000 kr. – 338.000 kr.","17","Denmark",3,"Friend",0
"R_2PyPzgwvaLCZmmJ","Male","26","More than 405.000 kr.","18","Denmark",2,"Friend",0
"R_1mE4Iv5uvHSNrsu","Female","27","More than 405.000 kr.","20","Denmark",3,"Friend",0
"R_9M1Pg0cmUSFjq7L","Male","52","More than 405.000 kr.","13","Denmark",4,"Friend",0
"R_2q4stGnrmwgVmWv","Male","33","More than 405.000 kr.","18","Denmark",3,"Friend",0
"R_3fuZsfGthsYLeWN","Male","22","Less than 135.000 kr.","15","Denmark",4,"Friend",1
"R_26bSycwsl2miSFd","Female","41","More than 405.000 kr.","17","Denmark",4,"Friend",0
"R_RIStGoSCNcwf6Sd","Male","19","More than 405.000 kr.","14","Denmark",4,"Friend",0
"R_1l67WG5MC5i4XRp","Male","29","More than 405.000 kr.","19","Denmark",4,"Friend",1
"R_tE8VjvwfTlH8ktr","Female","30","More than 405.000 kr.","18","Denmark",3,"Friend",0
"R_3jcVXkFUJ4lYczj","Male","25","More than 405.000 kr.","17","Denmark",3,"Friend",0
"R_3DXRgqSXVvrglO1","Male","47","More than 405.000 kr.","21","Denmark",4,"Friend",0
"R_1LA1E09IrAz8QKA","Female","26","Less than 135.000 kr.","4","Denmark",2,"Friend",1
"R_2cBp8YUpsukjkka","Male","26","More than 405.000 kr.","19","Denmark",3,"Friend",0
"R_2BqwWIqiPLPsKBv","Male","25","135.000 kr. – 202.000 kr.","16","Denmark",3,"Friend",0
"R_2z8vmldqTskY3E5","Male","29","More than 405.000 kr.","21","Denmark",3,"Friend",0
"R_AuhV72cxioVsbaV","Female","31","338.000 kr. – 405.000 kr.","18","Denmark",3,"Friend",0
"R_ac9l4Ozflv7LM7T","Female","38","More than 405.000 kr.","20","Denmark",2,"Friend",0
"R_3nDk1azPsLCqx4o","Female","26","135.000 kr. – 202.000 kr.","8","Denmark",1,"Friend",0
"R_3iVEIoudjZIFOBv","Male","24","135.000 kr. – 202.000 kr.","18","Denmark",3,"Friend",0
"R_3DcnZpi49szXKvv","Prefer not to say","18","270.000 kr. – 338.000 kr.","12","Denmark",2,"Friend",0
"R_3Hj3hUXoFEKH4LD","Male","23","Less than 135.000 kr.","15","Denmark",3,"Friend",0
"R_1PbMt0cG8vky2KT","Male","30","338.000 kr. – 405.000 kr.","15","Denmark",2,"Friend",0
"R_2CyypAxY6ihWrfB","Male","23","338.000 kr. – 405.000 kr.","13","Denmark",1,"Friend",0
"R_1Kli9BguucKmmKV","Male","20","Less than 135.000 kr.","14","Denmark",3,"Friend",0
"R_3MoCpp3IPFD6JMc","Male","39","More than 405.000 kr.","15","Denmark",3,"Friend",0
"R_2pWUZQj4qWL4nHM","Female","49","More than 405.000 kr.","13","Denmark",2,"Friend",0
"R_1rxBhNJPFkGBMBs","Female","35","More than 405.000 kr.","21.5","Denmark",0,"Friend",0
"R_3hziEH2LuzyDFiP","Female","50","More than 405.000 kr.","21","Denmark",3,"Friend",0
"R_24kOyWfRenIHtiO","Female","66","135.000 kr. – 202.000 kr.","12","Denmark",1,"Friend",0
"R_3Mll7lLjWRCXMgi","Male","28","More than 405.000 kr.","18","Denmark",4,"Friend",0
"R_2QgPQ9KuuuhqnsA","Female","28","338.000 kr. – 405.000 kr.","17","Denmark",2,"Friend",1
"R_3n8WVFMsiefHHeG","Female","44","More than 405.000 kr.","19","Denmark",2,"Friend",0
"R_27JqCpV3tn0xhvC","Female","29","Less than 135.000 kr.","18","Denmark",2,"Friend",1
"R_2R7wweyZwpzVjEx","Male","17","Prefer not to answer","11","Denmark",3,"Friend",0
"R_1hSUTMhfsy5UVd2","Male","70","202.000 kr. – 270.000 kr.","15","Denmark",4,"Friend",0
"R_RnqlgBTp2bxllO9","Male","30","More than 405.000 kr.","18","Denmark",3,"Friend",0
"R_3q8MmAr5tSiXU9r","Female","27","202.000 kr. – 270.000 kr.","16","Denmark",1,"Friend",0
"R_2QW0pCEAkYj0UC0","Male","24","More than 405.000 kr.","14","Denmark",4,"Friend",0
"R_6fWqJ4iI73thqLf","Female","54","More than 405.000 kr.","19","Denmark",4,"Friend",0
"R_3EKAPVaK6VovQeY","Male","21","Less than 135.000 kr.","13.5","Denmark",4,"Friend",0
"R_31u80XDbYj7DEX6","Male","25","Less than 135.000 kr.","15","Denmark",3,"Friend",0
"R_3qZMdCDNybONWH0","Female","60","202.000 kr. – 270.000 kr.","17","Denmark",2,"Friend",0
"R_SDUxOLBXjROXZ6N","Female","31","202.000 kr. – 270.000 kr.","18","Denmark",2,"Friend",0
"R_p9GbIIrWgzIKGwF","Male","33","More than 405.000 kr.","18","Denmark",3,"Friend",0
"R_1NzuHMP2CD1REYV","Male","18","202.000 kr. – 270.000 kr.","2","Denmark",2,"Friend",1
"R_2PAb4amlgDZ1D2H","Male","44","More than 405.000 kr.","19","Denmark",4,"Friend",0
"R_2cyiXJWI7YQ43tf","Male","28","Less than 135.000 kr.","18","Denmark",3,"Friend",1
"R_2upOgFeoBVbkbWh","Male","21","More than 405.000 kr.","14","Denmark",3,"Friend",0
"R_u1EQkP8yx9j4pJ7","Male","42","More than 405.000 kr.","19","Denmark",1,"Friend",0
"R_9pGey4XFHEOewFz","Female","32","More than 405.000 kr.","21","Denmark",3,"Friend",0
"R_3JgiEy4g13zgSah","Female","55","More than 405.000 kr.","13","Denmark",2,"Friend",0
"R_2bHrzc5Er0fixEl","Male","29","270.000 kr. – 338.000 kr.","16","Denmark",4,"Friend",1
"R_3EavwmH2sSjNoWS","Male","35","More than 405.000 kr.","5","Denmark",4,"Friend",0
"R_1mL863TlNbQdc5l","Male","26","202.000 kr. – 270.000 kr.","19","Denmark",4,"Friend",0
"R_28zE1caJH9YJfPx","Male","30","135.000 kr. – 202.000 kr.","18","Denmark",3,"Friend",0
"R_2t7KNn8Fc297HOx","Male","46","More than 405.000 kr.","21","Denmark",4,"Friend",1
"R_3GkY9PwlyMwuDFp","Female","49","More than 405.000 kr.","16","Denmark",3,"Friend",0
"R_2dgU7hzvJQPsexv","Female","48","More than 405.000 kr.","17","Denmark",3,"Friend",0
"R_e3sYvTc2DlHEHy9","Male","65","More than 405.000 kr.","20","Denmark",4,"Friend",0
"R_3PpqXcBZVzpgzxc","Male","59","More than 405.000 kr.","16","Denmark",4,"Friend",0
"R_2v7JHiKVIlxCMQE","Male","26","Less than 135.000 kr.","20","Denmark",3,"Friend",0
"R_1I5xhWEd6edv8YR","Male","18","Less than 135.000 kr.","13","Denmark",3,"Friend",0
"R_1fkD4KyUIrzR4dj","Male","49","More than 405.000 kr.","18","Denmark",4,"Friend",0
"R_2eVbpM1dTYH5W9I","Male","27","270.000 kr. – 338.000 kr.","17","Denmark",4,"Friend",1
"R_3q8qwLTo6EugfOo","Female","64","More than 405.000 kr.","16","Denmark",2,"Friend",0
"R_vTXUimiXIte07Ul","Male","45","More than 405.000 kr.","16","Denmark",4,"Friend",0
"R_2uEgTZjIR2geCPV","Male","23","135.000 kr. – 202.000 kr.","15","Denmark",3,"Friend",0
"R_1Q9DOZ689jODOBt","Female","61","More than 405.000 kr.","11","Denmark",4,"Friend",0
"R_2sUcHTXdRZisBvR","Male","35","More than 405.000 kr.","22","Denmark",3,"Friend",0
"R_1OBmc9cU6bQvND5","Male","39","338.000 kr. – 405.000 kr.","11","Denmark",3,"Friend",0
"R_3F55bnVDqkBDkVm","Female","29","338.000 kr. – 405.000 kr.","17","Denmark",3,"Friend",0
"R_2wRXZ8x2upxtxo0","Male","34","More than 405.000 kr.","17","Denmark",3,"Friend",0
"R_0kMDJTMk200POAp","Male","26","202.000 kr. – 270.000 kr.","15","Denmark",4,"Friend",0
"R_1pVFE13AZGYeYD1","Male","33","More than 405.000 kr.","18","Denmark",3,"Friend",0
"R_1C1oeChZYAJDGFy","Male","28","More than 405.000 kr.","15","Denmark",2,"Friend",0
"R_40KGeJ1X7q3GPAt","Male","26","More than 405.000 kr.","16","Denmark",4,"Friend",0
"R_1cZYrFTtliQ0mYY","Male","32","135.000 kr. – 202.000 kr.","21","Denmark",0,"Friend",0
"R_2VwLJyX9w6MzQYL","Female","46","More than 405.000 kr.","18","Denmark",3,"Friend",0
"R_8dJt7wG8OPrs61X","Male","24","More than 405.000 kr.","16.5","Denmark",2,"Friend",0
"R_1H1yvYwKYf1ecXD","Male","22","135.000 kr. – 202.000 kr.","14","Denmark",4,"Friend",0
"R_3mn1DwtpA6QQCGA","Female","64","270.000 kr. – 338.000 kr.","17","Denmark",2,"Friend",1
"R_2R7Iq6myI5IbQ8i","Male","26","Less than 135.000 kr.","16","Denmark",3,"Friend",0
"R_1E52y3SGx9CocXD","Male","40","More than 405.000 kr.","9","Denmark",3,"Friend",1
"R_3HOdigbPTEkjKbe","Female","28","338.000 kr. – 405.000 kr.","17","Denmark",2,"Friend",0
"R_1hElXHbrwDi5LTS","Non-binary / third gender","18","More than 405.000 kr.","12","Denmark",3,"Friend",0
"R_1mdRVNAXfQTOMq7","Female","27","338.000 kr. – 405.000 kr.","18","Denmark",2,"Friend",0
"R_3iQjPQGnCAuMgT7","Male","21","Less than 135.000 kr.","14","Denmark",1,"Friend",1
"R_Div0GYrm6OuisiB","Male","26","270.000 kr. – 338.000 kr.","13","Denmark",2,"Friend",0
"R_22mCku7LIrEb488","Female","28","Less than 135.000 kr.","18","Denmark",0,"Friend",0
"R_2Qg2y8orEcO157v","Female","42","338.000 kr. – 405.000 kr.","17","Denmark",1,"Friend",0
"R_2P0x3UmDXDM8u3f","Female","32","270.000 kr. – 338.000 kr.","3.5","Denmark",2,"Friend",0
"R_sulgSXQ7H7PTEgF","Female","28","More than 405.000 kr.","18","Denmark",4,"Friend",0
"R_SV0hxNVLeeMz1hT","Male","25","Less than 135.000 kr.","15","Denmark",3,"Friend",0
"R_2Wv6dezR4VRFZ8c","Male","25","135.000 kr. – 202.000 kr.","17","Denmark",1,"Friend",0
"R_2qkpPoVeXGwCbwc","Male","22","135.000 kr. – 202.000 kr.","14","Denmark",3,"Friend",0
"R_0OCCvtmGPyINpi9","Male","21","Less than 135.000 kr.","14","Denmark",3,"Friend",1
"R_2qgGjS2SJ3GFdnF","Female","63","338.000 kr. – 405.000 kr.","16","Denmark",1,"Friend",0
"R_27xNVhyXZF2wLII","Male","23","270.000 kr. – 338.000 kr.","12","Denmark",3,"Friend",0
"R_1mW5ywpEEqPzJOs","Male","19","Less than 135.000 kr.","13","Denmark",4,"Friend",0
"R_3oXQNSxI8typZAu","Male","40","More than 405.000 kr.","20","Denmark",4,"Friend",0
"R_2WOsuppntnp4H2i","Male","24","135.000 kr. – 202.000 kr.","17","Denmark",3,"Friend",0
"R_8nLQotYPJpqoxqN","Female","27","135.000 kr. – 202.000 kr.","12","Denmark",0,"Friend",0
"R_USf9ThctVXpKtLH","Male","45","338.000 kr. – 405.000 kr.","13","Denmark",3,"Friend",0
"R_3kA0ozcXZu2SzZi","Female","66","270.000 kr. – 338.000 kr.","6","Denmark",1,"Friend",1
"R_8DngQy1ZULjZIVr","Male","61","More than 405.000 kr.","14","Denmark",2,"Friend",0
"R_1BOWairVJzMeZkF","Female","25","Less than 135.000 kr.","17.5","Denmark",3,"Friend",0
"R_eR8a41cCegIUECJ","Male","30","More than 405.000 kr.","18","Denmark",4,"Friend",0
"R_21BpdWVuGmR4oko","Non-binary / third gender","23","Less than 135.000 kr.","18","Denmark",0,"Friend",0
"R_ApxpwjdOgv3690Z","Female","29","Less than 135.000 kr.","17","Denmark",3,"Friend",0
"R_3O1X1bPilIxut1O","Male","26","338.000 kr. – 405.000 kr.","16","Denmark",4,"Friend",0
"R_1dhj08LXQEY1K1X","Male","53","270.000 kr. – 338.000 kr.","12","Denmark",2,"Friend",0
"R_2WHjLMEd8w25GSc","Male","25","Less than 135.000 kr.","18","Denmark",3,"Friend",0
"R_RQtSH52SaTzQ0X7","Female","56","135.000 kr. – 202.000 kr.","12","Denmark",3,"Friend",0
"R_1Ide9DMC8mFCBXc","Female","32","135.000 kr. – 202.000 kr.","14","Denmark",3,"Friend",0
"R_0JUiUIyUrAsiHqp","Female","38","More than 405.000 kr.","21","Denmark",4,"Friend",0
"R_10BDNeusQsHEYS1","Female","34","More than 405.000 kr.","5","Denmark",3,"Friend",0
"R_rpRvJeS86LIdi9j","Female","24","Less than 135.000 kr.","17","Denmark",3,"Friend",0
"R_1f9RAT4bvI2lB3R","Female","22","135.000 kr. – 202.000 kr.","17","Denmark",0,"Friend",0
"R_RwTbTJiPVPAkO2Z","Male","32","More than 405.000 kr.","16","Denmark",2,"Friend",0
"R_2aVVlQjN31fWFdt","Female","54","More than 405.000 kr.","12","Denmark",4,"Friend",0
"R_2cbIMzKMCGcQqfM","Female","58","202.000 kr. – 270.000 kr.","11","Denmark",0,"Friend",0
"R_3FOoQUoX5L1TU0E","Male","46","338.000 kr. – 405.000 kr.","17","Denmark",3,"Friend",1
"R_7TYOwwg5AcX0M8x","Female","56","More than 405.000 kr.","18","Denmark",4,"Friend",0
"R_3qHZRZTZ0V3w5B9","Female","24","Less than 135.000 kr.","5","Denmark",1,"Friend",0
"R_3FOvickeOFT37yM","Female","58","More than 405.000 kr.","14","Denmark",4,"Friend",0
"R_1OWbEeJvOVU5v4w","Female","51","More than 405.000 kr.","17","Denmark",2,"Friend",0
"R_324Rxhmq4biMm4a","Male","40","More than 405.000 kr.","10","Denmark",4,"Friend",0
"R_3ix3QSJiANTjUc2","Female","22","270.000 kr. – 338.000 kr.","13","Denmark",2,"Friend",0
"R_28AmvIZmdPoZR7F","Female","24","202.000 kr. – 270.000 kr.","16","Denmark",3,"Friend",0
"R_dmd3QAWvw18OjIZ","Male","57","More than 405.000 kr.","17","Denmark",1,"Friend",1
"R_3NRqfcT2Cx0ORx9","Female","63","270.000 kr. – 338.000 kr.","13","Denmark",2,"Friend",1
"R_3lpFfikTfGGqqWZ","Female","49","More than 405.000 kr.","19","Denmark",1,"Friend",0
"R_1JWvkART5YEoF7I","Female","54","More than 405.000 kr.","20","Denmark",3,"Friend",0
"R_2QuglSGisNiJqqc","Female","71","202.000 kr. – 270.000 kr.","4","Denmark",2,"Friend",0
"R_2Sdl073wkWjYXiW","Male","64","More than 405.000 kr.","21","Denmark",4,"Friend",0
"R_1LukzRZCu1mcXRC","Female","70","Prefer not to answer","10","Denmark",3,"Friend",0
"R_1HehikubAX8wUtR","Female","45","270.000 kr. – 338.000 kr.","15","Denmark",0,"Friend",0
"R_74mUePLyWzEDnUJ","Male","76","More than 405.000 kr.","20","Denmark",3,"Friend",1
"R_3KuRhPdhdWmhpMt","Female","48","135.000 kr. – 202.000 kr.","12","Denmark",4,"Friend",1
"R_06CvPR23BF1sABH","Male","44","More than 405.000 kr.","15","Denmark",4,"Friend",0
"R_uyPcNxXsrjn8cYV","Female","60","338.000 kr. – 405.000 kr.","18","Denmark",3,"Friend",0
"R_2U41z0wGMqKP2Rf","Female","63","More than 405.000 kr.","16","Denmark",3,"Friend",0
"R_2VsS8UVrFAh5Bme","Female","44","More than 405.000 kr.","18","Denmark",2,"Friend",0
"R_231XnecywnOieZd","Female","50","More than 405.000 kr.","14","Denmark",0,"Friend",0
"R_uf55qTFPlAw87Xr","Male","63","More than 405.000 kr.","12","Denmark",4,"Friend",0
"R_3M5rHOEq5nxlaeS","Female","39","338.000 kr. – 405.000 kr.","6.5","Denmark",4,"Friend",0
"R_1ojb7lJkJLqn5rn","Non-binary / third gender","-60","Prefer not to answer","-36","Denmark",0,"Friend",0
"R_3dQHetTvOaP6gQb","Male","45","More than 405.000 kr.","11","Denmark",4,"Friend",1
"R_2DMmPCYO5Jhu0ma","Female","47","More than 405.000 kr.","9","Denmark",2,"Friend",0
"R_3Ia7aevcanRbJCq","Male","31","338.000 kr. – 405.000 kr.","17","Denmark",4,"Friend",0
"R_1nZva0NQtSuhQ1M","Female","28","More than 405.000 kr.","6.5","Denmark",3,"Friend",0
"R_3Dci8bk1M1cFwXy","Male","86","135.000 kr. – 202.000 kr.","9","Denmark",2,"Friend",0
"R_2c2Dbd0OT6gY1D4","Male","63","135.000 kr. – 202.000 kr.","19","Denmark",3,"Friend",0
"R_33wIMwuyqoexqyy","Male","82","338.000 kr. – 405.000 kr.","18","Denmark",3,"Friend",1
"R_2b2ffo6oruFMXQv","Female","49","Prefer not to answer","13","Denmark",2,"Friend",0
"R_1FFhSCDVhMQ6iVn","Female","43","270.000 kr. – 338.000 kr.","13","Denmark",3,"Friend",0
"R_24iSf16KxvDUPtA","Female","46","More than 405.000 kr.","16","Denmark",2,"Friend",0
"R_3DiR8RKjbjmq8hK","Female","50","More than 405.000 kr.","15","Denmark",3,"Friend",0
"R_3CoPVhTx15Lcy9r","Female","55","338.000 kr. – 405.000 kr.","20","Denmark",3,"Friend",0
"R_10O7L4z8MrW6ShF","Female","39","202.000 kr. – 270.000 kr.","10","Denmark",2,"Friend",0
"R_sUxORSexBpeMVQ5","Female","64","Prefer not to answer","17","Denmark",4,"Friend",0
"R_sHGywtju2ZkdXZn","Female","38","More than 405.000 kr.","14","Denmark",2,"Friend",0
"R_1NFhvUd4WQmAPPj","Male","37","More than 405.000 kr.","14","Denmark",2,"Friend",0
"R_3nU8WwiLfaI1NJn","Male","66","338.000 kr. – 405.000 kr.","13","Denmark",3,"Friend",0
"R_1kTCA9W6PcjVhDb","Female","71","338.000 kr. – 405.000 kr.","18","Denmark",2,"Friend",0
"R_2s0VifJh5SxwoC7","Male","60","338.000 kr. – 405.000 kr.","13","Denmark",3,"Friend",0
"R_0Ms776Qf1xb2KTT","Male","68","More than 405.000 kr.","15","Denmark",0,"Friend",0
"R_diei8UlbnUrf4ch","Female","65","135.000 kr. – 202.000 kr.","10","Denmark",0,"Friend",0
"R_1hARpvZeJH4ENoL","Female","59","Prefer not to answer","17","Denmark",2,"Friend",0
"R_2Tn281lz0qDKyPd","Female","55","Prefer not to answer","17","Denmark",1,"Friend",0
"R_1jcAiaDxzwGykyd","Female","34","More than 405.000 kr.","18","Denmark",1,"Friend",0
"R_5pBiVYaFVrwOwhj","Female","47","More than 405.000 kr.","14","Denmark",4,"Friend",0
"R_21AskJ13d2yQbTc","Female","57","More than 405.000 kr.","17","Denmark",4,"Friend",0
"R_2SB4QlbcLuEjGSU","Female","60","338.000 kr. – 405.000 kr.","16","Denmark",2,"Friend",0
"R_3JgBeY6SvtDactc","Female","57","More than 405.000 kr.","12","Denmark",3,"Friend",0
"R_1gUtFcHw3jROxUc","Female","62","202.000 kr. – 270.000 kr.","13.5","Denmark",1,"Friend",0
"R_2SB45CdtLCkROg4","Female","71","More than 405.000 kr.","16","Denmark",3,"Friend",0
"R_1dMI31ImxaVA3px","Female","66","270.000 kr. – 338.000 kr.","16","Denmark",3,"Friend",0
"R_31QopsOTTlD5ZFa","Female","31","More than 405.000 kr.","3","Denmark",2,"Friend",0
"R_VKiJymuj8ODgQ25","Female","78","270.000 kr. – 338.000 kr.","14","Denmark",2,"Friend",1
"R_Dl8H4qZvozSqwdH","Male","51","Prefer not to answer","24","Denmark",3,"Friend",0
"R_27cY1atw298gc2H","Female","49","More than 405.000 kr.","14","Denmark",2,"Friend",0
"R_2wnpZFetbj0op0L","Male","58","More than 405.000 kr.","18","Denmark",4,"Friend",0
"R_3spLyc6DamexGdw","Female","47","Less than 135.000 kr.","13","Denmark",2,"Friend",1
"R_2xPi3ZixW19GzlX","Male","52","More than 405.000 kr.","18","Denmark",3,"Friend",0
"R_w17BMETMRB3PLY5","Female","43","More than 405.000 kr.","5","Denmark",1,"Friend",0
"R_1rMqIFi03vYvfID","Male","27","More than 405.000 kr.","14","Denmark",3,"Friend",0
"R_eeyr3YLzxvKq0Dv","Female","47","Prefer not to answer","13","Denmark",2,"Friend",0
"R_sosSVUx76FGuNpv","Male","54","More than 405.000 kr.","18","Denmark",3,"Friend",0
"R_cYHQidT0LtZVvMZ","Male","68","135.000 kr. – 202.000 kr.","14","Denmark",3,"Friend",0
"R_3Mm5FWHtxceuGSG","Male","70","More than 405.000 kr.","19","Denmark",4,"Friend",0
"R_6KjRlezIigHKuWZ","Female","54","More than 405.000 kr.","13","Denmark",2,"Friend",0
"R_4NKx1Hm4gWj0yRP","Female","59","Prefer not to answer","10","Denmark",2,"Friend",1
"R_CjAlfuKq66m1FnP","Female","67","Prefer not to answer","12","Denmark",1,"Friend",0
"R_1MLG5v5GxFe3tdV","Female","49","More than 405.000 kr.","15","Denmark",4,"Friend",0
"R_2q8G1HiwMO1HOZx","Female","57","338.000 kr. – 405.000 kr.","10","Denmark",4,"Friend",1
"R_22SnnvMrNB2XP1E","Female","50","More than 405.000 kr.","16","Denmark",2,"Friend",0
"R_297aX13qAk6wfqh","Female","23","Less than 135.000 kr.","15","Denmark",3,"Friend",1
"R_wZ75bSt9iXnPQOt","Female","30","Less than 135.000 kr.","16","Denmark",2,"Friend",0
"R_27gleeoJNAy40af","Female","27","338.000 kr. – 405.000 kr.","20","Denmark",2,"Friend",0
"R_2X1EoZzPpEfvu6U","Male","50","More than 405.000 kr.","18","Denmark",4,"Friend",0
"R_2PpdnuN9NT2RYCu","Female","36","More than 405.000 kr.","16.5","Denmark",2,"Friend",0
"R_2PA3eHPQFDriHXk","Male","50","135.000 kr. – 202.000 kr.","15","Denmark",2,"Stranger",1
"R_1IhLeOGQ6WomdNK","Female","29","Prefer not to answer","17","Denmark",2,"Stranger",0
"R_3DcJA9PUImaRbn7","Male","32","More than 405.000 kr.","18","Denmark",3,"Stranger",1
"R_Wj9csXrSzWoBcPv","Female","27","Prefer not to answer","17","Denmark",1,"Stranger",0
"R_3ehw0UMkuIHGEEI","Male","29","202.000 kr. – 270.000 kr.","18","Denmark",3,"Stranger",1
"R_2EnJTirmFu9usBR","Male","57","More than 405.000 kr.","17","Denmark",1,"Stranger",1
"R_1mmBAed903FNsNZ","Female","30","More than 405.000 kr.","13","Denmark",3,"Stranger",1
"R_1lz63uhH80dpNVC","Female","58","More than 405.000 kr.","16","Denmark",4,"Stranger",1
"R_2OIJ7gh51O7QUq6","Female","31","More than 405.000 kr.","17","Denmark",1,"Stranger",1
"R_2pY2tyEphvhnXaH","Female","28","338.000 kr. – 405.000 kr.","18","Denmark",4,"Stranger",1
"R_uz6fFswSj7Xr4bf","Female","31","270.000 kr. – 338.000 kr.","3","Denmark",1,"Stranger",1
"R_74LYVJ39LPPy71D","Male","24","Less than 135.000 kr.","18","Denmark",4,"Stranger",1
"R_VKD6ZN138CIKx7X","Female","55","More than 405.000 kr.","8","Denmark",4,"Stranger",0
"R_3HnSLGrCI4OecQm","Female","38","338.000 kr. – 405.000 kr.","17","Denmark",4,"Stranger",1
"R_1kUBGdqT2Tawi2e","Female","75","More than 405.000 kr.","12","Denmark",2,"Stranger",1
"R_6g5hnvVM9tqJ8Hv","Female","25","135.000 kr. – 202.000 kr.","18","Denmark",2,"Stranger",1
"R_2xCZ00pklg6GNl5","Female","52","More than 405.000 kr.","20","Denmark",4,"Stranger",0
"R_2frg47NbshopVDj","Female","26","More than 405.000 kr.","17","Denmark",3,"Stranger",1
"R_2f28nf4MCJoSWlu","Male","25","135.000 kr. – 202.000 kr.","18","Denmark",2,"Stranger",1
"R_3iPSgCYBG4uaQd0","Male","56","More than 405.000 kr.","15","Denmark",4,"Stranger",1
"R_2tcmbjZi9xBMb2b","Female","25","Less than 135.000 kr.","13","Denmark",3,"Stranger",1
"R_3PcqsvY9fN8Al6x","Male","44","More than 405.000 kr.","15","Denmark",3,"Stranger",0
"R_2TBIDm4TypcUM22","Female","23","Less than 135.000 kr.","14","Denmark",3,"Stranger",1
"R_XiYYjYKZLRCXY1H","Male","29","More than 405.000 kr.","17","Denmark",3,"Stranger",1
"R_2X4Nn9yZqsmQAw2","Female","22","More than 405.000 kr.","15","Denmark",1,"Stranger",1
"R_3KDit27zSVCyI3p","Male","30","Less than 135.000 kr.","7","Denmark",3,"Stranger",1
"R_3gL2JiT3zRJOHHN","Male","47","More than 405.000 kr.","15","Denmark",2,"Stranger",1
