"N_sbj","power","study"
87,1,"Thaler1985_scenario2"
70,1,"Thaler1985_scenario2"
56,1,"Thaler1985_scenario2"
45,0.99,"Thaler1985_scenario2"
36,0.966666666666667,"Thaler1985_scenario2"
30,0.92,"Thaler1985_scenario2"
26,0.876666666666667,"Thaler1985_scenario2"
24,0.88,"Thaler1985_scenario2"
22,0.836666666666667,"Thaler1985_scenario2"
