"N_sbj","power","study"
181,1,"Kahneman1981"
145,0.993333333333333,"Kahneman1981"
117,0.993311036789298,"Kahneman1981"
94,0.966555183946488,"Kahneman1981"
78,0.933110367892977,"Kahneman1981"
68,0.896321070234114,"Kahneman1981"
61,0.91304347826087,"Kahneman1981"
54,0.806020066889632,"Kahneman1981"
